,author_display_name,author_channel_id,comment,comment_last_updated,clean_comment
94,Carmen Perez,UCwDeeuPPbq6aTLPEbnTmMaw,Beautiful video beautiful lyrics beautiful song. Mind blowing 👍 wow Carmen ❤️,2022-03-07 02:16:51+00:00,beautiful video beautiful lyrics beautiful song mind blowing 👍 wow carmen ❤️
95,mindy,UCyjj-sJRdPdVet_YVzYcBAw,Here,2022-03-02 15:16:32+00:00,
96,Skye Whitrow,UCV146K95fTtj6emCXlWkvyQ,song makes me cry everytime oml,2022-02-27 08:19:45+00:00,song makes cry everytime oml
97,jem,UC0NSOqn3YymRcMEzVyU5dXQ,there's something about this song.,2022-02-26 17:51:54+00:00,something song
98,Brian Till,UCoMFlm89C2bM1kotWabOR-Q,Might be my fav if theirs,2022-02-12 06:57:32+00:00,might fav
99,David Glazer,UCKxtwmX4JdMIZwnc64QTCSw,The chorus is nothing less than a five star melody.,2022-02-01 17:51:13+00:00,chorus nothing less five star melody
100,J,UCiuZee-bw4B2Gd9zuQAO3vg,"My nick name is Jujubee and every time I listen to this song,I imagine my future partner to sing this to me by replacing honeybee with Jujubee 😍",2022-01-27 16:01:00+00:00,nick name jujubee every time listen songi imagine future partner sing replacing honeybee jujubee 😍
101,skeleman1963,UC7OnND-jmZAHX1c2QF6m39A,My grand daughters favorite song,2022-01-27 04:36:47+00:00,grand daughters favorite song
102,Mini,UCRIvkCXqnLktTqQT-d56GRg,This Song is like having a sybian orgasam in my ears,2022-01-17 23:47:02+00:00,song like sybian orgasam ears
103,Spencer Kagen,UCtx3jGLi7DOHpP_4A6hCK7g,"Don't get me wrong; I love this song, but..
When she sings ""I want you to soar""
All I hear is ""I want you DeSaad"" (Character from DC comics) 🤣",2022-01-11 16:07:47+00:00,get wrong love song but sings i want soar hear i want desaad character dc comics 🤣
104,Cumi O.,UCBaWVJ2QEXEAyKNJhgdTqkQ,The head and the heart makes the most beautiful songs. 🥺♥️,2022-01-09 16:43:43+00:00,head heart makes beautiful songs 🥺♥️
105,Ronaldpou Panmei,UCsWGH-6CYG8P5oBu655UsCA,Y this song is so underrated? It deserve more view! 😑,2022-01-07 11:42:31+00:00,song underrated deserve view 😑
106,geor,UCPCCREZynclDAD8-LUudRbg,"I bought a shirt from this band in a second hand store and then I felt curious about them so I did my research and here I am, really liking them

Also, sorry for my bad english",2022-01-06 16:32:21+00:00,bought shirt band second hand store felt curious research am really liking also sorry bad english
107,Jason Byrd,UC5xcjlIxENTnJ5qhF4EgtOw,"MORE PL3A PLEASE ✌️🙃👍🍕  
Sincerely 
👽🛸",2021-12-23 08:40:24+00:00,pl3a please ✌️🙃👍🍕 sincerely 👽🛸
108,Angeline Huynh,UC0I3j2nF1XhaWzEa3aRtqnQ,"My current bf sent this to me, and god I’ve never felt more in love than I’ve ever been with him. If you see this, i love you honeybee 😘",2021-12-20 19:47:14+00:00,current bf sent me god never felt love ever him see this love honeybee 😘
109,Sayandeep Mondal,UCddzSWcV5c6cggyXj0ZASvA,I'm madly in love with this song.,2021-12-15 04:01:05+00:00,madly love song
110,Nyan Linn Htet,UCMNOVGX2BjvpOacxat3Cozw,i luv u angieee,2021-12-09 15:13:10+00:00,luv u angieee
111,Zenith TS,UCVNwyxBFXPLTJY86-FTu64A,Omg I just seen the MV video. I love this song so much and it's so emotional <33,2021-12-03 14:32:53+00:00,omg seen mv video love song much emotional 33
112,Rachel Rachel,UCr9zG3Wv3rdLFJbK7Stan4w,Such a good song but the video is so funny i can't help but laugh,2021-12-02 13:33:10+00:00,good song video funny help laugh
113,Katrin Melite,UCav9n7n1GUZHW3eY7Gc6D4w,"very nice song, especially for beekeepers :D",2021-11-28 19:45:30+00:00,nice song especially beekeepers d
114,Katrin Melite,UCav9n7n1GUZHW3eY7Gc6D4w,Nice song 😊,2021-11-27 18:59:43+00:00,nice song 😊
115,Jorge Guzman,UCBrrzfeSHnDZbxgyQ7-fLVg,Cant help but jam out to this. Perfect song to play while cruising. Makes one want to just drive and go on a trip.,2021-11-22 20:03:45+00:00,cant help jam this perfect song play cruising makes one want drive go trip
116,Debora Raquel,UCBuBKksxH-djG68LmqOw6Eg,imagine him and me meeting and listening to the bee✨,2021-11-18 13:18:12+00:00,imagine meeting listening bee✨
117,jennifer blakeley,UCE3cqsvSa7G0UabQtIumC4A,Every lyric remind my boyfriend and is relationship. It's been a tough roller coaster in the last 10 years. 6 years with each other. Crazy back story. But this song just reflects our relationship. Thank you making such a great song. Ryan love you babe. We can get over this hill once again.,2021-11-10 03:06:25+00:00,every lyric remind boyfriend relationship tough roller coaster last 10 years 6 years other crazy back story song reflects relationship thank making great song ryan love babe get hill again
118,GoTeamCook,UCmkOvvnhZcW8TDiCvly4-mQ,"I Love this video! Run!
Great song!",2021-11-08 22:26:03+00:00,love video run great song
